service_id,date,exception_type
2586,20181223,2
2586,20181230,2
2586,20190106,2
2587,20181225,1
2587,20190101,1
2353,20181207,1
2362,20181202,1
2369,20181206,1
695,20181206,1
1074,20181124,1
936,20181125,1
2596,20181224,1
2596,20181225,1
2596,20181226,1
2596,20181227,1
2596,20181228,1
2596,20181231,1
2596,20190101,1
2596,20190102,1
2596,20190103,1
2596,20190104,1
2595,20181210,1
2595,20181211,1
2595,20181212,1
2595,20181213,1
2595,20181214,1
2595,20181217,1
2595,20181218,1
2595,20181219,1
2595,20181220,1
2595,20181221,1
2595,20181223,1
2595,20181224,1
2595,20181225,1
2595,20181226,1
2595,20181227,1
2595,20181228,1
2595,20181229,1
2595,20181230,1
2595,20181231,1
2595,20190101,1
2595,20190102,1
2595,20190103,1
2595,20190104,1
2595,20190105,1
2595,20190106,1
2595,20181222,2
73,20181224,2
73,20181225,2
73,20181226,2
73,20181227,2
73,20181228,2
73,20181231,2
73,20190101,2
73,20190102,2
73,20190103,2
73,20190104,2
1743,20181223,2
1743,20181230,2
2469,20181225,2
2469,20190101,2
747,20181225,2
747,20190101,2
2125,20181123,1
2575,20181224,1
2575,20181225,1
2575,20181226,1
2575,20181229,1
2575,20181231,1
2575,20190101,1
2575,20190102,1
2575,20190105,1
2576,20181228,2
2576,20190104,2
1951,20190107,1
1951,20190108,1
1951,20190109,1
1951,20190110,1
1951,20190111,1
1951,20190114,1
1951,20190115,1
1951,20190116,1
1951,20190117,1
1951,20190118,1
2597,20181224,2
2597,20181231,2
1639,20181225,1
1639,20190101,1
1344,20181225,1
1344,20190101,1
884,20181224,1
884,20181225,1
884,20181226,1
884,20181227,1
884,20181228,1
884,20181231,1
884,20190101,1
884,20190102,1
884,20190103,1
884,20190104,1
2611,20190201,1
2611,20181224,1
2611,20181225,1
2611,20181226,1
2611,20181227,1
2611,20181228,1
2611,20181231,1
2611,20190101,1
2611,20190102,1
2611,20190103,1
2611,20190104,1
2618,20181203,1
2617,20181203,1
2617,20181120,1
2617,20181121,1
2617,20181122,1
2617,20181123,1
2617,20181127,1
2617,20181128,1
2617,20181129,1
2617,20181130,1
2617,20181204,1
2617,20181205,1
2617,20181206,1
2617,20181207,1
1259,20181225,2
1259,20190101,2
2683,20181224,1
2683,20181225,1
2683,20181231,1
2683,20190101,1
2686,20181116,1
1717,20181111,1
2843,20181117,1
2869,20190106,1
2869,20190120,1
2869,20190203,1
2869,20181209,1
2875,20190121,1
2875,20190122,1
2875,20190123,1
2875,20190124,1
2875,20190125,1
2875,20190128,1
2875,20190129,1
2875,20190130,1
2875,20190131,1
2875,20190201,1
3183,20181114,1
1829,20181108,1
631,20181112,1
3182,20181112,1
3429,20181124,1
3429,20181125,1
3429,20181203,1
3262,20181118,2
3544,20181225,2
3544,20190101,2
3449,20190114,1
3448,20190114,1
3265,20190101,2
3265,20181225,2
3265,20181226,2
3283,20181225,1
3283,20181226,1
3283,20190101,1
3264,20181225,1
3264,20181226,1
3264,20190101,1
3418,20181119,2
842,20181224,2
842,20181231,2
99,20181231,2
99,20190101,2
99,20181224,2
99,20181225,2
99,20181226,2
99,20181227,2
99,20181228,2
3440,20181231,2
3440,20190101,2
3440,20181224,2
3440,20181225,2
3440,20181226,2
3440,20181227,2
3440,20181228,2
3326,20190101,2
3326,20181225,2
3326,20181226,2
3540,20181225,2
3540,20190101,2
3538,20190102,1
3553,20181225,2
3553,20190101,2
3554,20190102,1
1737,20181228,2
1737,20190104,2
1735,20181224,2
1735,20181231,2
3290,20190101,2
3290,20181225,2
3290,20181226,2
1874,20190101,2
1874,20181225,2
