Origin,Destination,Price
Paris-Gare-de-Lyon,Les Arcs-Draguignan,132.0
Marne-la-Vallée-Chessy,St-Raphaël-Valescure,132.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Nice-Ville,132.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),St-Raphaël-Valescure,132.0
Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),Les Arcs-Draguignan,132.0
St-Maixent (Deux-Sèvres),Niort,7.6
St-Nazaire,Savenay,7.8
Bréauté-Beuzeville,Yvetot,7.9
Béziers,Narbonne,8.2
Le Croisic,St-Nazaire,8.7
Landry,Moûtiers-Salins-Brides-les-Bains,9.2
Groisy-Thorens-la-Caille,Bonneville,9.3
Bonneville,Sallanches-Combloux-Megève,9.5
Ancenis,Nantes,9.6
Surgères,Niort,9.6
Hazebrouck,Béthune,9.6
Lorient,Auray,9.6
Colmar,Mulhouse-Ville,9.8
Annemasse,Bellegarde,10.5
Rennes,Vitré,10.5
Dijon-Ville,Beaune,10.3
Arras,Béthune,10.6
Pau,Orthez,10.7
Bourg-St-Maurice,Moûtiers-Salins-Brides-les-Bains,11.0
Arras,TGV Haute-Picardie,11.5
Rethel,Charleville-Mézières,11.9
Angers-St-Laud,Sablé,12.1
Antibes,St-Raphaël-Valescure,12.1
Hazebrouck,Lens,12.6
Cannes,Menton,12.9
Vannes,Redon,13.2
Metz-Ville,Toul,12.9
Guingamp,Morlaix,13.5
Dol,Rennes,13.6
Brest,Morlaix,13.7
Bordeaux-St-Jean,Arcachon,13.7
Arras,Valenciennes,14.2
Chambéry-Challes-les-Eaux,Albertville,14.3
Cluses,Annecy,14.6
Saumur-Rive-Droite,Tours,14.7
Limoges-Bénédictins,La Souterraine,14.7
Annemasse,St-Gervais-les-Bains-Le Fayet,14.7
Lorient,Quimper,14.8
Avignon-TGV,Miramas,15.5
Mouchard,Montbéliard,16.0
Chambéry-Challes-les-Eaux,St-Jean-de-Maurienne-Arvan,15.5
Lannion,St-Brieuc,16.0
Mâcon-Ville,Lyon-Part-Dieu,16.5
Dijon-Ville,Culmont-Chalindrey,16.5
Lamballe,Rennes,17.5
Niort,Poitiers,17.5
Monaco-Monte-Carlo,St-Raphaël-Valescure,17.5
Nantes,La Roche-sur-Yon,18.0
Cluses,Bellegarde,17.5
Bellegarde,Évian-les-Bains,17.5
Lunéville,Saverne,17.5
Culoz,Lyon-Part-Dieu,18.0
Aix-en-Provence-TGV,Toulon,18.0
Annecy,St-Gervais-les-Bains-Le Fayet,18.0
Chambéry-Challes-les-Eaux,St-Michel-Valloire,18.5
Culoz,Bourg-en-Bresse,18.5
Évreux-Embranchement,Lisieux,18.5
Bourg-St-Maurice,Albertville,18.5
Biarritz,Morcenx,19.0
Morcenx,St-Jean-de-Luz-Ciboure,19.0
Marseille-Blancarde,Hyères,19.0
Rives,Lyon-Part-Dieu,18.5
Vendôme-Villiers-sur-Loir,St-Pierre-des-Corps,18.5
Roubaix,Arras,18.0
Montbard,Mouchard,20.0
Menton,St-Raphaël-Valescure,19.5
St-Maixent (Deux-Sèvres),Châtellerault,19.5
Reims,Charleville-Mézières,19.5
Carcassonne,Toulouse-Matabiau,19.5
Niort,Futuroscope,20.0
Dunkerque,Lens,20.5
Ruffec,Châtellerault,21.0
Lépin-le-Lac-La Bauche,Aime-La Plagne,21.0
Lépin-le-Lac-La Bauche,Moûtiers-Salins-Brides-les-Bains,21.0
Albertville,Bourg-en-Bresse,22.0
Rennes,St-Brieuc,21.5
Dunkerque,Lille-Flandres,21.5
Monaco-Monte-Carlo,Les Arcs-Draguignan,22.0
Strasbourg-Ville,Mulhouse-Ville,21.5
Lille-Europe,TGV Haute-Picardie,22.5
Lorient,Redon,22.5
Dax,Facture-Biganos,22.5
Reims,Sedan,22.5
Redon,Vitré,23.0
Chambéry-Challes-les-Eaux,Lyon-St-Exupéry-TGV,22.5
Dunkerque,Arras,23.5
Modane,Aix-les-Bains-Le Revard,23.5
Bellegarde,Bourg-en-Bresse,24.0
Chambéry-Challes-les-Eaux,Cluses,24.0
Béziers,Castelnaudary,24.0
Lamballe,Vitré,24.0
Montbard,Pontarlier,24.5
Culoz,Mâcon-Loché-TGV,24.5
Lyon-Part-Dieu,Aix-les-Bains-Le Revard,24.5
Avignon-TGV,St-Péray,25.0
Avignon-Centre,Valence,25.0
Calais-Ville,Lille-Europe,25.5
Dijon-Ville,Mâcon-Loché-TGV,26.0
Bayeux,Évreux-Embranchement,31.0
Avignon-TGV,Nîmes,15.5
Metz-Ville,Meuse-TGV,33.0
Marne-la-Vallée-Chessy,Mantes-la-Jolie,35.0
Conflans-Fin-d'Oise,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),35.0
Juvisy,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),35.0
Lyon-Part-Dieu,Montélimar,35.0
Le Teil,Lyon-St-Exupéry-TGV,35.0
Mantes-la-Jolie,Lisieux,37.0
Mâcon-Loché-TGV,Valence-TGV,41.0
Caen,Mantes-la-Jolie,42.0
Nîmes,Valence-TGV,41.0
Lyon-St-Exupéry-TGV,Orange,41.0
Massy-TGV,Champagne-Ardenne-TGV,44.0
Aix-en-Provence-TGV,Béziers,46.0
Valence,Bellegarde,46.0
Marne-la-Vallée-Chessy,Lisieux,51.0
Marseille-St-Charles,Valence-TGV,48.0
Marseille-St-Charles,Narbonne,49.0
Champagne-Ardenne-TGV,Thionville,52.0
Nîmes,Lyon-Part-Dieu,60.0
Nîmes,Lyon-Perrache-Voyageurs,60.0
Béziers,Valence-TGV,54.0
Dunkerque,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),66.0
Toulon,Valence-TGV,57.0
Avignon-TGV,Antibes,61.0
Avignon-TGV,Chalon-sur-Saône,72.0
Nîmes,Mâcon-Loché-TGV,62.0
Lille-Flandres,Juvisy,63.0
Lyon-Part-Dieu,Marseille-St-Charles,67.0
Cherbourg,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (TGV),70.0
Cherbourg,Marne-la-Vallée-Chessy,70.0
Paris-Austerlitz,Poitiers,75.0
Lyon-Part-Dieu,Sète,70.0
Lyon-St-Exupéry-TGV,Sète,70.0
Lyon-St-Exupéry-TGV,Agde,70.0
Lyon-Part-Dieu,Toulon,72.0
Lyon-Part-Dieu,Narbonne,74.0
Lyon-St-Exupéry-TGV,Narbonne,74.0
Laroche-Migennes,Lyon-Part-Dieu,73.0
Nancy-Ville,Paris-Est,77.0
Metz-Ville,Paris-Est,77.0
Lorraine-TGV,Marne-la-Vallée-Chessy,77.0
Cannes,Valence-TGV,72.0
Lyon-Part-Dieu,Perpignan,77.0
Lyon-Perrache-Voyageurs,Perpignan,77.0
Nîmes,Beaune,81.0
Valence,St-Raphaël-Valescure,73.0
Carcassonne,Lyon-Part-Dieu,79.0
Mâcon-Ville,Les Arcs-Draguignan,81.0
Dijon-Ville,Caen,86.0
Valence-TGV,Sens,83.0
TGV Haute-Picardie,St-Pierre-des-Corps,89.0
Besançon-Viotte,Évreux-Embranchement,92.0
